PRISM Time Series Data
Location:  Lat: 30.3980   Lon: -94.2635   Elev: 18m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1895-01 - 2024-08
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2025-Feb-18
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1897-01,157.62,2.9,8.2,13.4,4.0,0.65,6.63
1897-02,75.49,7.2,13.1,19.0,7.7,0.72,10.05
1897-03,127.39,13.3,19.0,24.7,13.8,0.69,14.62
1897-04,88.73,13.3,19.8,26.2,13.6,0.85,17.67
1897-05,80.83,15.4,22.2,28.9,16.6,0.53,20.49
1897-06,92.31,20.7,26.9,33.1,20.9,1.07,26.21
1897-07,86.43,21.8,28.5,35.1,22.1,0.72,30.35
1897-08,170.53,21.4,27.7,33.9,21.8,0.57,26.73
1897-09,45.30,17.7,24.8,32.0,18.0,0.68,26.77
1897-10,105.10,14.3,22.0,29.8,15.5,0.21,23.89
1897-11,83.02,9.0,15.7,22.4,10.2,0.44,13.74
1897-12,203.40,5.7,11.4,17.0,6.6,0.58,8.82
1898-01,151.16,7.3,13.2,19.1,8.6,0.45,10.27
1898-02,120.04,6.3,13.5,20.6,7.5,0.51,13.06
1898-03,78.59,11.4,16.8,22.2,11.4,0.91,12.45
1898-04,85.42,10.7,17.8,24.9,11.4,0.48,17.22
1898-05,53.00,16.8,23.5,30.1,17.7,0.41,21.96
1898-06,200.72,21.1,26.9,32.7,21.4,1.14,23.74
1898-07,112.48,22.0,27.6,33.3,22.1,1.04,24.10
1898-08,136.89,22.1,27.8,33.5,22.0,1.28,24.90
1898-09,149.16,20.3,25.9,31.5,20.3,1.02,21.98
1898-10,127.34,12.1,19.4,26.7,12.5,0.87,19.79
1898-11,156.25,6.8,12.8,18.8,7.4,0.72,10.46
1898-12,66.90,2.7,9.2,15.7,3.5,0.71,8.86
1899-01,137.65,4.5,10.4,16.4,5.4,0.59,8.73
1899-02,67.17,1.3,7.2,13.2,1.2,0.84,7.54
1899-03,46.00,10.5,17.1,23.7,10.2,1.02,16.31
1899-04,89.93,12.8,18.8,24.8,13.1,0.67,15.29
1899-05,30.59,19.4,25.8,32.2,19.7,0.36,24.66
1899-06,158.39,20.3,26.6,32.9,20.7,0.55,25.36
1899-07,65.55,21.4,28.2,35.0,21.9,0.44,30.15
1899-08,116.81,21.9,28.9,35.9,21.9,0.86,33.38
1899-09,58.02,16.2,24.0,31.8,16.7,0.53,27.92
1899-10,68.59,14.1,21.3,28.4,15.2,0.35,20.82
1899-11,61.91,8.2,15.4,22.6,9.6,0.37,14.44
1899-12,191.19,4.2,10.4,16.6,6.0,0.37,8.72
1900-01,124.39,4.9,10.7,16.4,6.1,0.58,8.55
1900-02,152.17,4.3,10.9,17.6,4.9,0.73,10.48
1900-03,141.10,9.4,15.8,22.2,9.7,0.79,13.91
1900-04,179.68,14.1,20.0,25.9,14.5,0.72,16.24
1900-05,135.15,17.8,23.7,29.7,17.9,0.65,20.13
1900-06,205.60,21.8,27.1,32.4,21.6,1.25,22.28
1900-07,222.48,22.3,27.3,32.2,23.0,0.40,19.71
1900-08,146.48,22.1,27.5,32.8,22.3,0.78,22.74
1900-09,84.47,22.1,27.7,33.2,21.9,1.13,24.87
1900-10,93.46,15.5,22.0,28.5,16.1,0.70,20.03
1900-11,126.89,9.2,16.1,22.9,10.2,0.52,14.51
1900-12,132.46,5.0,11.4,17.7,6.3,0.53,10.03
1901-01,60.44,6.4,12.7,19.0,7.3,0.64,10.93
1901-02,109.89,4.6,10.9,17.1,5.3,0.79,9.73
1901-03,76.43,8.5,15.8,23.1,8.0,0.97,16.53
1901-04,77.63,11.0,18.2,25.4,11.0,0.88,18.39
1901-05,50.18,16.7,23.3,30.0,16.6,1.03,22.88
1901-06,82.15,21.3,27.8,34.2,20.5,1.49,30.15
1901-07,160.41,22.8,28.6,34.5,22.6,0.98,27.41
1901-08,92.09,22.4,28.5,34.6,22.1,1.31,28.54
1901-09,118.55,18.9,24.7,30.5,19.2,0.69,20.95
1901-10,45.84,12.1,20.0,27.9,13.0,0.35,22.26
1901-11,58.97,7.2,14.7,22.2,8.4,0.49,14.77
1901-12,157.44,2.8,9.9,17.1,4.3,0.50,10.28
1902-01,45.87,2.8,9.3,15.9,3.6,0.62,9.39
1902-02,77.65,3.3,9.8,16.4,3.9,0.71,9.60
1902-03,71.70,10.1,16.8,23.4,10.0,0.92,15.69
1902-04,77.12,14.4,20.9,27.4,14.6,0.73,19.18
1902-05,88.75,20.1,25.4,30.7,20.1,0.99,20.97
1902-06,59.32,21.1,27.7,34.2,20.8,1.22,30.88
1902-07,158.22,22.2,28.0,33.9,22.5,0.67,26.27
1902-08,44.25,22.7,29.2,35.6,22.4,1.39,32.32
1902-09,173.78,18.6,25.1,31.7,18.9,0.74,24.73
1902-10,218.53,12.7,19.9,27.2,13.5,0.53,20.10
1902-11,169.06,12.5,17.9,23.4,13.7,0.44,12.38
1902-12,110.27,5.7,11.7,17.6,6.6,0.60,9.51
1903-01,111.72,5.0,10.4,15.9,5.5,0.74,8.29
1903-02,211.45,6.2,11.6,17.0,6.9,0.62,8.30
1903-03,195.21,11.4,16.6,21.9,11.9,0.75,11.55
1903-04,42.92,13.1,19.4,25.7,13.0,0.99,17.29
1903-05,58.42,15.8,22.1,28.4,16.6,0.40,19.09
1903-06,138.16,17.4,24.0,30.6,18.3,0.49,22.50
1903-07,169.79,21.2,27.0,32.8,22.2,0.18,23.47
1903-08,99.98,21.7,27.6,33.5,22.1,0.51,25.25
1903-09,41.77,17.2,24.2,31.3,17.4,0.68,25.48
1903-10,67.74,11.6,19.2,26.8,12.2,0.66,20.08
1903-11,7.65,6.2,13.7,21.3,7.1,0.56,14.31
1903-12,94.65,3.1,10.7,18.2,4.4,0.49,11.52
1904-01,38.32,2.6,9.9,17.1,3.1,0.74,11.04
1904-02,69.39,8.4,14.7,21.0,8.7,0.86,12.77
1904-03,46.66,12.2,18.8,25.4,12.0,0.98,17.43
1904-04,103.92,12.9,19.6,26.2,13.0,0.83,18.46
1904-05,111.49,16.2,23.0,29.9,16.8,0.58,22.55
1904-06,106.07,20.9,27.1,33.3,20.9,1.10,26.64
1904-07,132.47,21.2,27.3,33.4,21.7,0.59,25.42
1904-08,102.52,21.1,27.3,33.6,21.5,0.71,26.29
1904-09,77.49,20.3,26.7,33.0,20.5,0.80,26.92
1904-10,49.87,14.2,21.6,29.0,14.8,0.72,22.81
1904-11,53.09,7.5,15.5,23.6,8.5,0.51,17.06
1904-12,142.60,4.9,11.4,17.9,6.3,0.47,10.19
1905-01,101.71,2.9,8.7,14.6,3.8,0.64,7.89
1905-02,159.43,0.6,6.6,12.5,1.1,0.75,7.01
1905-03,174.58,11.5,18.0,24.6,12.3,0.59,15.91
1905-04,222.50,13.7,20.1,26.5,14.6,0.41,17.24
1905-05,125.92,19.2,25.2,31.3,20.0,0.23,21.94
1905-06,228.94,22.6,27.8,33.1,22.1,1.47,23.79
1905-07,160.64,21.6,27.2,32.8,22.1,0.67,23.23
1905-08,59.31,22.9,28.9,34.9,22.4,1.38,29.40
1905-09,53.02,20.3,26.7,33.0,20.4,0.85,26.53
1905-10,62.47,14.1,21.0,27.9,15.0,0.50,19.92
1905-11,136.88,11.2,17.4,23.7,12.3,0.46,14.23
1905-12,120.41,2.0,8.7,15.4,3.6,0.44,8.50
1906-01,64.09,4.0,11.3,18.6,4.8,0.62,11.51
1906-02,72.66,2.6,10.5,18.4,3.7,0.53,12.07
1906-03,71.78,7.0,13.8,20.7,7.1,0.80,14.05
1906-04,82.42,14.0,20.1,26.2,14.5,0.64,16.69
1906-05,44.84,17.0,23.8,30.6,17.4,0.66,23.50
1906-06,86.78,21.1,27.9,34.8,20.9,1.16,31.29
1906-07,176.52,21.8,27.7,33.6,22.4,0.49,24.66
1906-08,55.27,21.2,27.6,34.0,21.6,0.67,27.43
1906-09,107.25,20.7,26.6,32.5,20.8,0.94,24.25
1906-10,269.68,11.2,18.1,24.9,11.7,0.73,16.78
1906-11,77.34,9.4,16.4,23.4,10.1,0.67,15.06
1906-12,112.50,8.0,14.3,20.6,9.8,0.29,11.37
1907-01,38.76,10.7,16.3,22.0,11.5,0.56,11.79
1907-02,72.94,6.7,14.1,21.6,7.0,0.72,14.66
1907-03,56.31,15.2,21.5,27.8,15.1,0.94,19.56
1907-04,93.88,11.9,18.6,25.3,12.0,0.85,17.14
1907-05,373.25,15.8,21.6,27.5,16.6,0.47,16.90
1907-06,27.40,20.2,26.5,32.8,20.2,0.90,26.27
1907-07,65.70,21.7,28.3,34.9,22.0,0.60,29.69
1907-08,75.06,21.6,28.5,35.3,21.8,0.76,31.81
1907-09,83.09,18.9,26.0,33.1,19.1,0.74,28.63
1907-10,167.82,14.3,20.4,26.6,15.4,0.31,16.47
1907-11,218.57,7.2,13.4,19.5,8.3,0.59,10.84
1907-12,104.06,5.6,11.8,18.0,7.1,0.44,9.74
1908-01,72.81,5.4,11.6,17.8,6.3,0.58,9.90
1908-02,154.61,5.8,12.2,18.6,6.6,0.59,10.67
1908-03,63.98,14.0,19.8,25.6,13.9,0.96,15.96
1908-04,149.15,15.9,21.9,28.0,16.2,0.87,18.54
1908-05,157.86,17.8,23.7,29.6,18.1,0.63,19.78
1908-06,93.51,21.3,27.4,33.4,21.3,0.91,26.14
1908-07,184.76,21.2,27.2,33.3,22.0,0.34,24.61
1908-08,131.92,21.5,27.6,33.7,21.9,0.61,26.12
1908-09,130.94,19.0,25.0,31.0,19.5,0.67,21.87
1908-10,31.16,10.6,18.4,26.2,11.2,0.68,19.92
1908-11,107.27,9.8,16.5,23.3,10.3,0.68,15.06
1908-12,87.65,7.7,13.9,20.0,9.0,0.45,11.10
1909-01,18.03,7.7,14.0,20.3,8.7,0.58,11.68
1909-02,98.57,6.0,13.6,21.2,6.8,0.62,14.05
1909-03,53.09,10.2,17.0,23.9,10.1,0.98,16.35
1909-04,77.20,13.2,19.7,26.2,13.3,0.80,17.82
1909-05,137.36,16.5,23.0,29.6,17.2,0.46,21.12
1909-06,118.29,20.6,26.8,33.0,20.9,0.75,25.49
1909-07,91.07,22.8,29.0,35.2,22.6,1.08,29.74
1909-08,110.39,22.3,28.7,35.1,22.2,0.98,30.23
1909-09,49.17,18.6,25.9,33.2,18.5,0.96,29.99
1909-10,143.85,13.0,21.1,29.1,13.4,0.68,24.54
1909-11,63.53,12.1,19.1,26.0,13.2,0.42,17.51
1909-12,154.75,2.2,9.1,15.9,3.6,0.51,9.06
1910-01,60.01,5.1,12.2,19.4,6.2,0.52,11.77
1910-02,105.11,3.8,10.6,17.4,4.4,0.69,10.58
1910-03,31.32,11.2,18.9,26.6,11.3,0.85,20.72
1910-04,63.45,11.9,19.3,26.8,12.3,0.64,20.23
1910-05,178.79,16.2,23.0,29.8,17.1,0.32,21.98
1910-06,134.83,19.3,25.8,32.3,19.7,0.72,25.41
1910-07,158.65,21.5,27.5,33.4,22.1,0.50,24.68
1910-08,51.49,22.4,28.8,35.1,22.2,1.15,30.49
1910-09,46.02,19.7,26.6,33.6,19.8,0.76,29.31
1910-10,129.72,13.5,20.7,27.8,14.0,0.68,20.87
1910-11,48.97,9.3,16.4,23.5,10.1,0.53,15.87
1910-12,124.83,6.0,12.0,18.0,7.2,0.46,9.67
1911-01,25.26,9.2,15.3,21.3,10.4,0.51,11.92
1911-02,50.84,10.5,16.4,22.3,11.4,0.57,12.64
1911-03,97.16,11.7,18.5,25.3,12.1,0.70,17.33
1911-04,216.03,14.9,20.8,26.6,15.8,0.46,16.05
1911-05,74.07,16.1,23.4,30.6,16.9,0.45,24.17
1911-06,83.04,21.0,28.2,35.4,20.8,1.14,33.45
1911-07,215.73,21.5,26.9,32.3,22.3,0.35,20.97
1911-08,85.14,21.6,27.9,34.3,21.9,0.77,28.07
1911-09,58.43,21.6,27.8,34.0,21.6,0.88,27.44
1911-10,144.26,14.2,20.9,27.5,15.2,0.48,18.93
1911-11,115.32,6.0,13.2,20.4,7.0,0.59,13.04
1911-12,380.28,4.9,10.7,16.4,7.1,0.25,7.86
1912-01,59.76,2.0,8.7,15.5,2.7,0.69,9.30
1912-02,77.08,2.7,10.0,17.4,3.2,0.71,11.20
1912-03,135.23,7.8,13.9,19.9,8.0,0.81,11.34
1912-04,141.73,14.1,20.0,26.0,14.9,0.61,15.78
1912-05,96.66,16.9,23.5,30.1,17.8,0.48,21.67
1912-06,127.70,19.1,25.2,31.3,19.7,0.66,22.20
1912-07,105.82,21.4,27.8,34.2,22.0,0.50,27.28
1912-08,121.07,21.4,27.7,34.1,22.0,0.52,26.87
1912-09,30.00,19.5,26.4,33.3,19.9,0.76,28.16
1912-10,48.00,14.0,21.2,28.3,15.1,0.45,20.53
1912-11,27.23,5.8,13.9,22.1,7.1,0.51,15.57
1912-12,318.22,5.0,10.8,16.6,6.8,0.41,8.07
1913-01,119.44,6.0,12.1,18.2,7.3,0.55,9.78
1913-02,108.73,4.7,11.4,18.1,5.5,0.64,10.40
1913-03,98.69,8.5,15.0,21.5,8.6,0.91,13.53
1913-04,123.50,11.7,18.9,26.1,12.1,0.74,18.74
1913-05,94.03,15.7,22.8,29.9,16.6,0.55,22.78
1913-06,75.75,19.6,25.8,32.0,20.1,0.75,23.95
1913-07,76.39,21.8,28.4,35.1,22.1,0.71,30.51
1913-08,75.12,21.1,28.1,35.0,21.5,0.61,31.03
1913-09,306.24,18.3,24.0,29.7,19.3,0.42,18.89
1913-10,205.90,13.1,19.1,25.1,14.0,0.60,15.24
1913-11,94.74,12.3,18.4,24.6,13.6,0.33,14.57
1913-12,140.09,5.9,11.2,16.5,7.3,0.50,7.76
1914-01,22.06,4.7,12.2,19.6,6.5,0.47,12.22
1914-02,102.62,3.1,10.1,17.1,4.3,0.64,10.32
1914-03,140.85,6.9,13.7,20.4,7.5,0.70,12.73
1914-04,154.31,13.2,19.5,25.8,13.7,0.74,16.85
1914-05,199.55,17.6,23.2,28.7,18.4,0.57,17.54
1914-06,47.43,21.4,28.1,34.8,21.4,1.02,30.27
1914-07,72.02,22.5,29.0,35.5,22.3,1.16,31.49
1914-08,185.47,21.7,27.3,32.8,22.5,0.44,22.35
1914-09,52.88,18.7,25.5,32.2,19.4,0.57,25.49
1914-10,64.30,13.9,20.3,26.7,15.0,0.53,17.12
1914-11,188.14,9.2,15.2,21.3,10.5,0.49,11.82
1914-12,191.90,3.6,8.8,14.1,4.9,0.57,6.33
1915-01,117.79,3.3,9.8,16.3,4.7,0.55,8.86
1915-02,124.54,5.9,12.8,19.8,7.4,0.47,11.56
1915-03,59.68,5.0,11.9,18.7,4.9,0.91,11.42
1915-04,104.32,12.7,19.3,25.9,13.7,0.46,16.96
1915-05,84.51,17.5,24.0,30.5,18.0,0.67,22.46
1915-06,43.08,21.8,28.4,35.0,21.5,1.42,30.74
1915-07,92.80,21.5,28.3,35.1,21.9,0.48,30.31
1915-08,338.86,21.9,27.7,33.5,22.6,0.42,24.32
1915-09,30.21,20.5,26.8,33.2,20.9,0.57,25.89
1915-10,77.32,13.9,21.6,29.2,14.6,0.60,23.44
1915-11,85.37,9.8,17.4,25.1,11.1,0.42,17.78
1915-12,131.22,5.3,12.3,19.4,7.3,0.26,11.40
1916-01,148.25,8.5,14.1,19.6,10.0,0.38,9.68
1916-02,19.89,5.9,13.4,20.9,6.4,0.69,13.94
1916-03,11.91,10.1,18.1,26.1,10.0,0.93,20.61
1916-04,83.54,12.3,19.2,26.2,12.7,0.64,18.35
1916-05,220.03,17.4,23.9,30.5,18.3,0.29,22.13
1916-06,68.05,20.8,27.5,34.2,20.8,0.90,29.28
1916-07,114.59,22.3,28.6,34.8,22.5,0.59,28.35
1916-08,101.48,21.8,28.2,34.6,22.2,0.52,28.47
1916-09,52.54,18.4,25.4,32.4,18.7,0.68,27.01
1916-10,38.25,12.6,21.0,29.4,13.4,0.50,24.76
1916-11,56.61,6.5,15.1,23.6,7.8,0.46,17.43
1916-12,128.56,5.6,12.9,20.1,7.2,0.42,12.47
1917-01,83.28,7.2,12.8,18.5,8.1,0.60,9.71
1917-02,98.50,6.6,14.0,21.4,7.2,0.65,14.09
1917-03,52.11,10.5,16.8,23.1,10.6,0.82,14.55
1917-04,96.77,12.2,18.8,25.5,12.4,0.77,17.45
1917-05,62.04,14.6,21.1,27.6,15.3,0.48,18.87
1917-06,26.55,19.9,27.1,34.3,19.8,1.06,31.33
1917-07,122.43,22.1,28.9,35.7,22.1,0.89,32.33
1917-08,92.74,21.6,28.6,35.6,21.9,0.79,32.63
1917-09,60.14,17.8,25.0,32.2,18.4,0.47,26.72
1917-10,44.29,9.4,18.3,27.2,10.0,0.65,23.14
1917-11,37.64,5.3,14.1,23.0,6.5,0.48,17.48
1917-12,59.50,3.8,9.8,15.8,4.6,0.61,8.63
1918-01,44.84,-0.6,7.3,15.2,-0.1,0.73,10.14
1918-02,66.58,8.0,14.8,21.6,8.5,0.72,13.57
1918-03,66.83,11.9,19.0,26.1,12.2,0.78,18.88
1918-04,159.92,12.9,19.4,25.9,13.7,0.54,16.98
1918-05,37.48,18.2,24.2,30.3,18.5,0.59,21.43
1918-06,81.65,22.2,28.6,35.0,22.0,1.14,30.03
1918-07,68.48,21.1,28.6,36.1,21.4,0.70,35.15
1918-08,145.30,22.3,28.5,34.6,22.2,1.04,28.23
1918-09,84.70,14.9,22.5,30.2,16.4,0.16,23.79
1918-10,265.12,15.8,21.6,27.5,17.1,0.36,16.70
1918-11,175.24,8.3,13.8,19.3,9.7,0.47,9.93
1918-12,111.62,6.5,12.4,18.3,8.6,0.29,9.61
1919-01,159.57,3.0,9.0,15.0,4.9,0.47,7.90
1919-02,130.57,6.0,11.6,17.3,7.0,0.58,9.48
1919-03,101.21,9.2,16.1,23.0,9.7,0.71,14.87
1919-04,60.59,13.1,19.8,26.4,13.4,0.74,18.37
1919-05,208.14,16.4,22.4,28.5,17.3,0.48,18.39
1919-06,287.45,20.0,25.4,30.7,20.7,0.58,19.26
1919-07,156.29,22.0,27.9,33.7,22.7,0.30,24.71
1919-08,130.33,22.4,28.3,34.2,22.7,0.58,26.07
1919-09,81.69,20.2,25.8,31.4,20.6,0.67,21.32
1919-10,405.46,19.2,24.2,29.1,20.5,0.23,15.70
1919-11,155.84,10.8,17.2,23.6,11.7,0.62,14.20
1919-12,77.33,5.8,12.1,18.5,6.7,0.56,10.46
1920-01,184.59,5.8,11.1,16.3,6.6,0.64,7.97
1920-02,55.42,7.8,13.5,19.2,8.2,0.70,10.63
1920-03,69.70,9.8,15.5,21.1,9.3,1.08,12.29
1920-04,63.40,12.3,18.9,25.6,12.7,0.71,17.26
1920-05,111.53,18.9,24.4,30.0,19.0,1.00,19.85
1920-06,124.27,19.8,25.6,31.4,20.2,0.51,21.99
1920-07,131.92,22.0,27.6,33.2,22.3,0.62,23.65
1920-08,194.81,21.3,26.6,31.9,22.2,0.29,20.16
1920-09,62.08,20.4,26.4,32.3,20.7,0.70,23.94
1920-10,200.88,13.5,19.8,26.1,14.8,0.30,16.36
1920-11,110.77,7.1,13.1,19.2,8.0,0.56,10.67
1920-12,199.53,4.9,11.1,17.2,6.4,0.42,9.20
1921-01,98.45,8.5,14.2,19.9,9.6,0.49,10.51
1921-02,51.98,6.5,13.7,21.0,7.5,0.53,13.38
1921-03,121.47,14.6,20.4,26.2,15.2,0.70,16.08
1921-04,176.75,12.6,19.0,25.4,13.0,0.72,16.68
1921-05,72.64,16.2,23.2,30.1,17.0,0.40,22.80
1921-06,196.95,20.8,26.5,32.3,21.4,0.48,22.58
1921-07,157.03,21.9,27.9,33.9,22.3,0.46,25.83
1921-08,56.21,21.2,28.3,35.3,21.7,0.49,31.84
1921-09,106.26,20.9,27.0,33.2,21.5,0.31,25.50
1921-10,41.58,12.3,20.3,28.3,12.8,0.66,23.03
1921-11,44.60,11.0,18.3,25.6,12.2,0.40,17.87
1921-12,142.41,7.5,14.6,21.6,9.6,0.22,13.04
1922-01,168.59,5.2,10.0,14.7,6.1,0.62,6.68
1922-02,127.78,8.7,14.9,21.1,9.7,0.53,12.21
1922-03,210.58,8.9,15.6,22.3,9.4,0.68,14.14
1922-04,137.02,15.2,21.2,27.2,15.8,0.49,17.21
1922-05,157.73,18.3,24.3,30.3,18.9,0.43,20.66
1922-06,183.52,20.7,26.9,33.0,21.0,0.76,25.34
1922-07,119.31,21.4,27.6,33.9,21.9,0.40,26.50
1922-08,77.33,21.2,28.1,34.9,21.5,0.69,30.46
1922-09,52.99,19.4,26.0,32.7,19.6,0.66,26.61
1922-10,57.97,11.6,19.9,28.2,12.8,0.30,23.01
1922-11,107.50,10.5,16.7,23.0,11.7,0.41,13.36
1922-12,121.19,8.9,15.1,21.4,10.7,0.22,11.78
1923-01,86.15,7.8,14.9,21.9,9.5,0.31,13.44
1923-02,170.85,7.4,12.9,18.4,8.0,0.68,9.25
1923-03,144.78,8.5,14.6,20.8,8.9,0.72,12.27
1923-04,223.06,14.7,20.3,25.9,15.4,0.52,15.08
1923-05,131.89,17.2,23.5,29.8,17.7,0.56,21.15
1923-06,174.86,20.9,26.9,32.9,21.2,0.71,24.70
1923-07,76.25,21.4,27.6,33.8,21.8,0.53,26.34
1923-08,125.04,21.6,28.1,34.6,21.9,0.58,28.32
1923-09,175.06,20.0,25.6,31.2,20.5,0.50,20.94
1923-10,107.30,13.2,19.8,26.4,14.2,0.49,17.30
1923-11,150.14,7.4,13.9,20.5,8.6,0.45,11.90
1923-12,293.70,9.8,14.5,19.2,11.3,0.35,8.30
1924-01,127.28,1.9,8.6,15.3,2.8,0.62,8.85
1924-02,133.27,5.3,11.9,18.5,6.3,0.56,10.60
1924-03,84.97,7.1,13.7,20.4,7.2,0.85,12.52
1924-04,116.58,13.3,19.5,25.7,13.7,0.60,16.36
1924-05,149.04,15.8,22.3,28.9,16.4,0.52,20.52
1924-06,78.10,21.3,27.5,33.7,21.5,0.69,26.74
1924-07,32.58,20.9,28.1,35.2,21.3,0.57,32.30
1924-08,36.53,22.1,29.6,37.0,22.0,0.94,37.39
1924-09,46.24,18.0,25.4,32.8,18.2,0.69,28.77
1924-10,0.27,13.2,21.3,29.3,13.8,0.59,24.64
1924-11,31.12,10.2,17.7,25.3,11.3,0.48,17.91
1924-12,120.03,5.4,11.3,17.1,6.7,0.48,8.88
1925-01,156.65,3.0,9.9,16.9,4.3,0.53,9.87
1925-02,36.42,7.8,15.2,22.5,8.6,0.59,15.03
1925-03,31.50,11.3,18.4,25.5,11.3,0.92,18.30
1925-04,30.47,15.0,22.2,29.4,15.6,0.49,22.65
1925-05,41.68,15.5,23.3,31.0,16.3,0.38,26.11
1925-06,68.98,21.2,27.7,34.1,21.3,0.87,28.26
1925-07,78.84,22.3,28.9,35.5,22.2,0.92,31.40
1925-08,65.02,21.3,28.6,35.9,21.5,0.74,34.16
1925-09,111.48,21.2,27.4,33.7,21.5,0.59,26.65
1925-10,244.53,15.1,20.8,26.5,15.9,0.55,15.91
1925-11,199.81,8.7,15.0,21.4,9.5,0.59,12.57
1925-12,70.38,2.9,9.5,16.1,4.4,0.47,9.16
1926-01,140.05,3.7,9.5,15.2,4.6,0.62,7.83
1926-02,35.58,7.3,14.4,21.6,8.1,0.65,13.92
1926-03,241.29,8.3,14.2,20.1,9.1,0.61,11.40
1926-04,144.61,11.9,18.4,25.0,12.5,0.51,16.25
1926-05,92.88,16.1,22.7,29.4,16.9,0.34,20.97
1926-06,115.88,20.1,26.7,33.3,20.4,0.69,26.93
1926-07,106.19,21.5,27.6,33.6,22.1,0.39,25.22
1926-08,118.15,22.0,28.1,34.2,22.3,0.69,26.85
1926-09,51.85,21.2,27.4,33.5,21.4,0.72,25.99
1926-10,135.78,16.5,22.8,29.1,17.7,0.32,19.72
1926-11,73.84,6.8,13.6,20.5,7.8,0.55,12.49
1926-12,177.31,7.5,13.7,19.9,9.2,0.35,10.39
1927-01,50.68,7.3,13.7,20.1,8.2,0.56,11.45
1927-02,106.18,10.6,16.8,23.0,11.6,0.50,13.36
1927-03,128.65,9.7,16.2,22.7,10.5,0.57,13.97
1927-04,129.15,16.0,21.9,27.7,16.6,0.58,17.57
1927-05,79.05,19.8,25.3,30.8,19.8,0.82,20.80
1927-06,171.34,21.3,26.7,32.2,21.6,0.68,21.86
1927-07,105.30,22.0,28.2,34.5,22.4,0.57,27.25
1927-08,24.17,21.5,28.7,35.8,21.7,0.84,33.67
1927-09,88.93,19.5,26.2,33.0,20.0,0.47,26.79
1927-10,79.59,14.3,22.1,29.9,15.4,0.30,24.36
1927-11,92.18,12.9,19.7,26.5,14.3,0.28,17.64
1927-12,209.72,4.3,10.5,16.6,6.1,0.40,8.37
1928-01,16.05,4.7,11.2,17.6,5.5,0.58,10.19
1928-02,99.96,6.2,12.5,18.7,7.3,0.49,10.06
1928-03,94.25,10.8,17.2,23.6,11.1,0.89,14.92
1928-04,113.56,11.3,17.4,23.4,11.6,0.69,14.16
1928-05,58.46,16.8,23.6,30.4,17.1,0.63,23.26
1928-06,174.10,21.3,26.5,31.7,21.5,0.82,20.63
1928-07,100.64,22.3,28.4,34.5,22.5,0.75,27.17
1928-08,71.50,22.5,28.9,35.2,22.4,0.97,30.03
1928-09,57.69,18.6,24.7,30.7,19.1,0.55,21.58
1928-10,96.58,15.6,22.5,29.4,16.5,0.43,21.89
